Passage,NewID,WordNo,Sentence,WordID,IDEnd,IDBegin,Word,WordWithPunctuation,WordNoPunctuation,WP,WL,WordClass,CosineSimilarity_Content_Sentence,PartOfSpeech
3,3Bw01,11,2,Bw01,Bw01,Bw01,Animal,Animal,Animal,1,6,Content,null,PROPN
3,3Bw02,12,2,Bw02,Bw02,Bw02,cruelty,cruelty,cruelty,2,7,Content,0.41137841492364996,NOUN
3,3Bw03,13,2,Bw03,Bw03,Bw03,is,is,is,3,2,Content,0.08655151360476572,AUX
3,3Bw04,14,2,Bw04,BEN-2,BEN-2,one,one,one,4,3,Function,0.19771677247119893,NUM
3,3Bw05,15,2,Bw05,BEN-1,BEN-1,of,of,of,5,2,Function,null,ADP
3,3Bw06,16,2,Bw06,BEN,BEN,them.,them.,them,6,4,Function,0.17945921548980645,PRON
4,4Aw01,1,1,Aw01,Aw01,Aw01,Koalas,Koalas,Koalas,1,6,Content,null,PROPN
4,4Aw02,2,1,Aw02,Aw02,Aw02,have,have,have,2,4,Content,0.10662717586958625,VERB
4,4Aw03,3,1,Aw03,Aw03,Aw03,been,been,been,3,4,Content,0.28827058306859027,AUX
4,4Aw04,4,1,Aw04,Middle1,Middle1,running,running,running,4,7,Content,0.06894162300861403,VERB
4,4Aw05,5,1,Aw05,AEN-2,AEN-2,into,into,into,5,4,Function,0.12587664578362712,ADP
4,4Aw06,6,1,Aw06,AEN-1,AEN-1,hard,hard,hard,6,4,Content,0.15364461642405988,ADJ
4,4Aw07,7,1,Aw07,AEN,AEN,times.,times.,times,7,5,Content,0.3459077787893644,NOUN
4,4Bw01,8,2,Bw01,Bw01,Bw01,They,They,They,1,4,Function,null,PRON
4,4Bw02,9,2,Bw02,Bw02,Bw02,have,have,have,2,4,Content,null,VERB
4,4Bw03,10,2,Bw03,Bw03,Bw03,suffered,suffered,suffered,3,8,Content,0.17592643054136153,VERB
4,4Bw04,11,2,Bw04,Middle2,Middle2,for,for,for,4,3,Function,0.23141911196059448,ADP
4,4Bw05,12,2,Bw05,Middle2,Middle2,years,years,years,5,5,Content,0.24173296114953488,NOUN
4,4Bw06,13,2,Bw06,Middle2,Middle2,from,from,from,6,4,Function,0.19174265599102447,ADP
4,4Bw07,14,2,Bw07,Middle2,Middle2,habitat,habitat,habitat,7,7,Content,0.060316160638659945,NOUN
4,4Bw08,15,2,Bw08,Middle2,Middle2,"destruction,","destruction,",destruction,8,11,Content,0.23323098350151197,NOUN
4,4Bw09,16,2,Bw09,Middle2,Middle2,dog,dog,dog,9,3,Content,0.13709937243726922,NOUN
4,4Bw10,17,2,Bw10,BEN-2,BEN-2,"attacks,","attacks,",attacks,10,7,Content,0.26288019300966486,NOUN
4,4Bw11,18,2,Bw11,BEN-1,BEN-1,automobile,automobile,automobile,11,10,Content,0.18794896178124865,NOUN
4,4Bw12,19,2,Bw12,BEN,BEN,accidents.,accidents.,accidents,12,9,Content,0.40975338135982375,NOUN
5,5Aw01,1,1,Aw01,Aw01,Aw01,Some,Some,Some,1,4,Function,null,PRON
5,5Aw02,2,1,Aw02,Aw02,Aw02,recent,recent,recent,2,6,Content,null,ADJ
5,5Aw03,3,1,Aw03,Aw03,Aw03,reports,reports,reports,3,7,Content,0.2710142452569454,NOUN
5,5Aw04,4,1,Aw04,Middle1,Middle1,have,have,have,4,4,Content,0.24904399170285654,VERB
5,5Aw05,5,1,Aw05,Middle1,Middle1,suggested,suggested,suggested,5,9,Content,0.23519105252553973,VERB
5,5Aw06,6,1,Aw06,Middle1,Middle1,that,that,that,6,4,Function,0.3840573401083426,SCONJ
5,5Aw07,7,1,Aw07,Middle1,Middle1,women,women,women,7,5,Content,0.08078055429315859,NOUN
5,5Aw08,8,1,Aw08,Middle1,Middle1,who,who,who,8,3,Function,0.2440131970872984,PRON
5,5Aw09,9,1,Aw09,Middle1,Middle1,give,give,give,9,4,Content,0.19344180358647609,VERB
5,5Aw10,10,1,Aw10,Middle1,Middle1,birth,birth,birth,10,5,Content,0.15261214560899755,NOUN
5,5Aw11,11,1,Aw11,Middle1,Middle1,by,by,by,11,2,Function,0.2570278134538226,ADP
5,5Aw12,12,1,Aw12,Middle1,Middle1,cesarean,cesarean,cesarean,12,8,Content,0.29924067753980627,PROPN
5,5Aw13,13,1,Aw13,Middle1,Middle1,section,section,section,13,7,Content,0.12413642949695837,NOUN
5,5Aw14,14,1,Aw14,Middle1,Middle1,are,are,are,14,3,Content,0.26777005960261646,AUX
5,5Aw15,15,1,Aw15,Middle1,Middle1,more,more,more,15,4,Content,0.23262984202968484,ADJ
5,5Aw16,16,1,Aw16,Middle1,Middle1,likely,likely,likely,16,6,Content,0.2846092198173353,ADV
5,5Aw17,17,1,Aw17,Middle1,Middle1,to,to,to,17,2,Function,null,ADP
5,5Aw18,18,1,Aw18,AEN-2,AEN-2,have,have,have,18,4,Content,0.5057911900489165,VERB
5,5Aw19,19,1,Aw19,AEN-1,AEN-1,obese,obese,obese,19,5,Content,0.3536183639596155,PROPN
5,5Aw20,20,1,Aw20,AEN,AEN,children.,children.,children,20,8,Content,0.3459335717221241,NOUN
5,5Bw01,21,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,null,CCONJ
5,5Bw02,22,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,null,INTJ
5,5Bw03,23,2,Bw03,Bw03,Bw03,large,large,large,3,5,Content,null,ADJ
5,5Bw04,24,2,Bw04,Middle2,Middle2,new,new,new,4,3,Content,0.14097658735903792,ADJ
5,5Bw05,25,2,Bw05,Middle2,Middle2,study,study,study,5,5,Content,0.1558371312222567,NOUN
5,5Bw06,26,2,Bw06,Middle2,Middle2,found,found,found,6,5,Content,0.24949980954013437,VERB
5,5Bw07,27,2,Bw07,Middle2,Middle2,no,no,no,7,2,Function,0.2049422281301897,INTJ
5,5Bw08,28,2,Bw08,Middle2,Middle2,link,link,link,8,4,Content,0.21513609783696286,NOUN
5,5Bw09,29,2,Bw09,Middle2,Middle2,between,between,between,9,7,Function,0.26256644069637874,ADP
5,5Bw10,30,2,Bw10,Middle2,Middle2,the,the,the,10,3,Function,0.35458697465911815,PRON
5,5Bw11,31,2,Bw11,Middle2,Middle2,method,method,method,11,6,Content,0.2254161042588347,NOUN
5,5Bw12,32,2,Bw12,Middle2,Middle2,of,of,of,12,2,Function,null,ADP
5,5Bw13,33,2,Bw13,BEN-2,BEN-2,birth,birth,birth,13,5,Content,0.1287303455383638,NOUN
5,5Bw14,34,2,Bw14,BEN-1,BEN-1,and,and,and,14,3,Function,null,CCONJ
5,5Bw15,35,2,Bw15,BEN,BEN,obesity.,obesity.,obesity,15,7,Content,0.24469266432105852,NOUN
6,6Aw01,1,1,Aw01,Aw01,Aw01,Pancreatic,Pancreatic,Pancreatic,1,10,Content,null,ADJ
6,6Aw02,2,1,Aw02,Aw02,Aw02,cancer,cancer,cancer,2,6,Content,0.49660575476812224,NOUN
6,6Aw03,3,1,Aw03,Aw03,Aw03,has,has,has,3,3,Content,0.04361205510073319,VERB
6,6Aw04,4,1,Aw04,AEN-2,AEN-2,a,a,a,4,1,Function,null,INTJ
6,6Aw05,5,1,Aw05,AEN-1,AEN-1,bad,bad,bad,5,3,Content,0.08299453866381876,ADJ
6,6Aw06,6,1,Aw06,AEN,AEN,reputation.,reputation.,reputation,6,10,Content,0.15723279859060496,NOUN
6,6Bw01,7,2,Bw01,Bw01,Bw01,It,It,It,1,2,Function,null,PRON
6,6Bw02,8,2,Bw02,Bw02,Bw02,is,is,is,2,2,Content,null,AUX
6,6Bw03,9,2,Bw03,Bw03,Bw03,a,a,a,3,1,Function,null,INTJ
6,6Bw04,10,2,Bw04,Middle2,Middle2,terrible,terrible,terrible,4,8,Content,0.12493758233585676,ADJ
6,6Bw05,11,2,Bw05,Middle2,Middle2,"disease,","disease,",disease,5,7,Content,0.17549005188103314,NOUN
6,6Bw06,12,2,Bw06,Middle2,Middle2,but,but,but,6,3,Function,0.29927916843024377,CCONJ
6,6Bw07,13,2,Bw07,Middle2,Middle2,most,most,most,7,4,Content,0.2081632516524678,ADJ
6,6Bw08,14,2,Bw08,Middle2,Middle2,people,people,people,8,6,Content,0.29368491927187307,NOUN
6,6Bw09,15,2,Bw09,Middle2,Middle2,do,do,do,9,2,Content,0.4133062625880104,VERB
6,6Bw10,16,2,Bw10,Middle2,Middle2,not,not,not,10,3,Content,0.5631688404499757,PART
6,6Bw11,17,2,Bw11,Middle2,Middle2,realize,realize,realize,11,7,Content,0.3966462336675704,VERB
6,6Bw12,18,2,Bw12,Middle2,Middle2,there,there,there,12,5,Content,0.4471910592560769,ADV
6,6Bw13,19,2,Bw13,Middle2,Middle2,are,are,are,13,3,Content,0.4157920318973795,AUX
6,6Bw14,20,2,Bw14,Middle2,Middle2,ways,ways,ways,14,4,Content,0.2950817799886219,NOUN
6,6Bw15,21,2,Bw15,Middle2,Middle2,that,that,that,15,4,Function,0.560612910398223,SCONJ
6,6Bw16,22,2,Bw16,Middle2,Middle2,early,early,early,16,5,Content,0.20562991593742572,ADV
6,6Bw17,23,2,Bw17,BEN-2,BEN-2,detection,detection,detection,17,9,Content,0.15578280778682976,NOUN
6,6Bw18,24,2,Bw18,BEN-1,BEN-1,can,can,can,18,3,Function,0.4918996024770204,AUX
6,6Bw19,25,2,Bw19,BEN,BEN,help.,help.,help,19,4,Content,0.3734114699578874,VERB
7,7Aw01,1,1,Aw01,Aw01,Aw01,Some,Some,Some,1,4,Function,null,PRON
7,7Aw02,2,1,Aw02,Aw02,Aw02,nutrition,nutrition,nutrition,2,9,Content,null,NOUN
7,7Aw03,3,1,Aw03,Aw03,Aw03,experts,experts,experts,3,7,Content,0.16736596319855568,NOUN
7,7Aw04,4,1,Aw04,Middle1,Middle1,say,say,say,4,3,Content,0.18350992313140818,VERB
7,7Aw05,5,1,Aw05,Middle1,Middle1,eggs,eggs,eggs,5,4,Content,0.16074215026259975,NOUN
7,7Aw06,6,1,Aw06,Middle1,Middle1,are,are,are,6,3,Content,0.21490258057669365,AUX
7,7Aw07,7,1,Aw07,Middle1,Middle1,good,good,good,7,4,Content,0.21325810618905636,ADJ
7,7Aw08,8,1,Aw08,Middle1,Middle1,for,for,for,8,3,Function,0.28149229850387164,ADP
7,7Aw09,9,1,Aw09,Middle1,Middle1,"you,","you,",you,9,3,Function,0.326154068047133,PRON
7,7Aw10,10,1,Aw10,Middle1,Middle1,even,even,even,10,4,Content,0.31321394469927377,ADV
7,7Aw11,11,1,Aw11,Middle1,Middle1,though,though,though,11,6,Function,0.398064289903534,ADV
7,7Aw12,12,1,Aw12,Middle1,Middle1,they,they,they,12,4,Function,0.47888494189268943,PRON
7,7Aw13,13,1,Aw13,Middle1,Middle1,are,are,are,13,3,Content,0.48966862591492943,AUX
7,7Aw14,14,1,Aw14,AEN-2,AEN-2,high,high,high,14,4,Content,0.19854828565698446,ADJ
7,7Aw15,15,1,Aw15,AEN-1,AEN-1,in,in,in,15,2,Function,0.26495049485718103,ADP
7,7Aw16,16,1,Aw16,AEN,AEN,cholesterol.,cholesterol.,cholesterol,16,11,Content,0.3130875157317732,NOUN
7,7Bw01,17,2,Bw01,Bw01,Bw01,Others,Others,Others,1,6,Content,null,NOUN
7,7Bw02,18,2,Bw02,Bw02,Bw02,are,are,are,2,3,Content,0.2241713391944492,AUX
7,7Bw03,19,2,Bw03,Bw03,Bw03,sure,sure,sure,3,4,Content,0.16305674468165365,INTJ
7,7Bw04,20,2,Bw04,BEN-2,BEN-2,they,they,they,4,4,Function,0.5756278976930264,PRON
7,7Bw05,21,2,Bw05,BEN-1,BEN-1,are,are,are,5,3,Content,0.7112429818317095,AUX
7,7Bw06,22,2,Bw06,BEN,BEN,bad.,bad.,bad,6,3,Content,0.2118460806373797,ADJ
8,8Aw01,1,1,Aw01,Aw01,Aw01,Experts,Experts,Experts,1,7,Content,null,NOUN
8,8Aw02,2,1,Aw02,Aw02,Aw02,generally,generally,generally,2,9,Content,0.16900410194368312,ADV
8,8Aw03,3,1,Aw03,Aw03,Aw03,agree,agree,agree,3,5,Content,0.21622251585756877,VERB
8,8Aw04,4,1,Aw04,Middle1,Middle1,that,that,that,4,4,Function,0.3292761825992852,SCONJ
8,8Aw05,5,1,Aw05,Middle1,Middle1,watching,watching,watching,5,8,Content,0.13032412839784352,VERB
8,8Aw06,6,1,Aw06,Middle1,Middle1,a,a,a,6,1,Function,null,INTJ
8,8Aw07,7,1,Aw07,Middle1,Middle1,lot,lot,lot,7,3,Content,0.3001458914796364,NOUN
8,8Aw08,8,1,Aw08,Middle1,Middle1,of,of,of,8,2,Function,null,ADP
8,8Aw09,9,1,Aw09,Middle1,Middle1,television,television,television,9,10,Content,0.2094499991500755,NOUN
8,8Aw10,10,1,Aw10,Middle1,Middle1,is,is,is,10,2,Content,0.19247914470142666,AUX
8,8Aw11,11,1,Aw11,AEN-2,AEN-2,bad,bad,bad,11,3,Content,0.3251621622800426,ADJ
8,8Aw12,12,1,Aw12,AEN-1,AEN-1,for,for,for,12,3,Function,0.3101018703818473,ADP
8,8Aw13,13,1,Aw13,AEN,AEN,children.,children.,children,13,8,Content,0.19280297189022405,NOUN
8,8Bw01,14,2,Bw01,Bw01,Bw01,Now,Now,Now,1,3,Content,null,INTJ
8,8Bw02,15,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,null,INTJ
8,8Bw03,16,2,Bw03,Bw03,Bw03,new,new,new,3,3,Content,0.26457244139553143,ADJ
8,8Bw04,17,2,Bw04,Middle2,Middle2,study,study,study,4,5,Content,0.07273814464045675,NOUN
8,8Bw05,18,2,Bw05,Middle2,Middle2,suggests,suggests,suggests,5,8,Content,0.31442677502010175,VERB
8,8Bw06,19,2,Bw06,Middle2,Middle2,it,it,it,6,2,Function,0.25544925956962805,PRON
8,8Bw07,20,2,Bw07,Middle2,Middle2,may,may,may,7,3,Function,0.3794423671364538,AUX
8,8Bw08,21,2,Bw08,Middle2,Middle2,not,not,not,8,3,Content,0.2755215154903261,PART
8,8Bw09,22,2,Bw09,Middle2,Middle2,be,be,be,9,2,Content,0.3740006349769162,AUX
8,8Bw10,23,2,Bw10,Middle2,Middle2,very,very,very,10,4,Content,0.3492814596067745,ADV
8,8Bw11,24,2,Bw11,Middle2,Middle2,good,good,good,11,4,Content,0.36480333509506147,ADJ
8,8Bw12,25,2,Bw12,BEN-2,BEN-2,for,for,for,12,3,Function,0.3884327945812592,ADP
8,8Bw13,26,2,Bw13,BEN-1,BEN-1,"adults,","adults,",adults,13,6,Content,0.2479569179998585,NOUN
8,8Bw14,27,2,Bw14,BEN,BEN,either.,either.,either,14,6,Function,0.4159062061318439,ADV
9,9Aw01,1,1,Aw01,Aw01,Aw01,Legislators,Legislators,Legislators,1,11,Content,null,NOUN
9,9Aw02,2,1,Aw02,Aw02,Aw02,and,and,and,2,3,Function,null,CCONJ
9,9Aw03,3,1,Aw03,Aw03,Aw03,gun,gun,gun,3,3,Content,0.15112925462493754,NOUN
9,9Aw04,4,1,Aw04,Middle1,Middle1,safety,safety,safety,4,6,Content,0.1569778833688041,NOUN
9,9Aw05,5,1,Aw05,Middle1,Middle1,advocates,advocates,advocates,5,9,Content,0.4200807424513134,NOUN
9,9Aw06,6,1,Aw06,Middle1,Middle1,often,often,often,6,5,Content,0.19310876432765342,ADV
9,9Aw07,7,1,Aw07,Middle1,Middle1,focus,focus,focus,7,5,Content,0.1110475523182578,NOUN
9,9Aw08,8,1,Aw08,Middle1,Middle1,on,on,on,8,2,Function,0.17341433270952292,ADP
9,9Aw09,9,1,Aw09,Middle1,Middle1,how,how,how,9,3,Content,0.2516690005359508,SCONJ
9,9Aw10,10,1,Aw10,AEN-2,AEN-2,guns,guns,guns,10,4,Content,0.44565647517870105,NOUN
9,9Aw11,11,1,Aw11,AEN-1,AEN-1,are,are,are,11,3,Content,0.23900222549212385,AUX
9,9Aw12,12,1,Aw12,AEN,AEN,purchased.,purchased.,purchased,12,9,Content,0.030031901703323722,VERB
9,9Bw01,13,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,null,CCONJ
9,9Bw02,14,2,Bw02,Bw02,Bw02,many,many,many,2,4,Content,null,ADJ
9,9Bw03,15,2,Bw03,Bw03,Bw03,lives,lives,lives,3,5,Content,0.20561657212725734,NOUN
9,9Bw04,16,2,Bw04,Middle2,Middle2,could,could,could,4,5,Function,0.25803745378728943,AUX
9,9Bw05,17,2,Bw05,Middle2,Middle2,be,be,be,5,2,Content,0.13837607418249154,AUX
9,9Bw06,18,2,Bw06,Middle2,Middle2,"saved,","saved,",saved,6,5,Content,0.25982465951628547,VERB
9,9Bw07,19,2,Bw07,Middle2,Middle2,especially,especially,especially,7,10,Content,0.31953928262928355,ADV
9,9Bw08,20,2,Bw08,Middle2,Middle2,among,among,among,8,5,Function,0.26946473621901207,ADP
9,9Bw09,21,2,Bw09,Middle2,Middle2,"children,","children,",children,9,8,Content,0.29869999350270204,NOUN
9,9Bw10,22,2,Bw10,Middle2,Middle2,if,if,if,10,2,Function,0.3415724782195712,SCONJ
9,9Bw11,23,2,Bw11,Middle2,Middle2,they,they,they,11,4,Function,0.41102802465441285,PRON
9,9Bw12,24,2,Bw12,Middle2,Middle2,looked,looked,looked,12,6,Content,0.22587993692698302,VERB
9,9Bw13,25,2,Bw13,Middle2,Middle2,more,more,more,13,4,Content,0.3136333455578176,ADJ
9,9Bw14,26,2,Bw14,Middle2,Middle2,at,at,at,14,2,Function,0.187238991368146,ADP
9,9Bw15,27,2,Bw15,Middle2,Middle2,how,how,how,15,3,Content,0.3631843387612918,SCONJ
9,9Bw16,28,2,Bw16,BEN-2,BEN-2,they,they,they,16,4,Function,0.5066901240885902,PRON
9,9Bw17,29,2,Bw17,BEN-1,BEN-1,are,are,are,17,3,Content,0.44365408182374505,AUX
9,9Bw18,30,2,Bw18,BEN,BEN,stored.,stored.,stored,18,6,Content,0.20931337752139578,VERB
10,10Aw01,1,1,Aw01,Aw01,Aw01,Most,Most,Most,1,4,Content,null,ADJ
10,10Aw02,2,1,Aw02,Aw02,Aw02,cricket,cricket,cricket,2,7,Content,0.0809825875502895,NOUN
10,10Aw03,3,1,Aw03,Aw03,Aw03,"species,","species,",species,3,7,Content,0.12149157281784854,NOUN
10,10Aw04,4,1,Aw04,Middle1,Middle1,indoors,indoors,indoors,4,7,Content,0.15161104904383896,NOUN
10,10Aw05,5,1,Aw05,Middle1,Middle1,or,or,or,5,2,Function,0.16541780868968622,CCONJ
10,10Aw06,6,1,Aw06,AEN-2,AEN-2,"outdoors,","outdoors,",outdoors,6,8,Content,0.4790539673839214,NOUN
10,10Aw07,7,1,Aw07,AEN-1,AEN-1,are,are,are,7,3,Content,0.18441921788647592,AUX
10,10Aw08,8,1,Aw08,AEN,AEN,omnivorous.,omnivorous.,omnivorous,8,10,Content,0.20370079700024948,ADJ
10,10Bw01,9,2,Bw01,Bw01,Bw01,They,They,They,1,4,Function,null,PRON
10,10Bw02,10,2,Bw02,Bw02,Bw02,will,will,will,2,4,Function,null,AUX
10,10Bw03,11,2,Bw03,Bw03,Bw03,eat,eat,eat,3,3,Content,null,VERB
10,10Bw04,12,2,Bw04,Middle2,Middle2,almost,almost,almost,4,6,Content,0.11783373046572318,ADV
10,10Bw05,13,2,Bw05,Middle2,Middle2,any,any,any,5,3,Function,0.22022947648001612,INTJ
10,10Bw06,14,2,Bw06,Middle2,Middle2,organic,organic,organic,6,7,Content,0.27137048250222356,ADJ
10,10Bw07,15,2,Bw07,Middle2,Middle2,"material,","material,",material,7,8,Content,0.15529001075272106,NOUN
10,10Bw08,16,2,Bw08,Middle2,Middle2,usually,usually,usually,8,7,Content,0.2621289655686034,ADV
10,10Bw09,17,2,Bw09,Middle2,Middle2,preferring,preferring,preferring,9,10,Content,0.24981886671931824,VERB
10,10Bw10,18,2,Bw10,Middle2,Middle2,items,items,items,10,5,Content,0.2659336524565683,NOUN
10,10Bw11,19,2,Bw11,BEN-2,BEN-2,derived,derived,derived,11,7,Content,0.2712884165065979,VERB
