Passage,NewID,WordNo,Sentence,WordID,IDEnd,IDBegin,Word,WordWithPunctuation,WordNoPunctuation,WP,WL,WordClass,CosineSimilarity_Content_Sentence,PartOfSpeech
2,2Aw03,3,1,Aw03,Aw03,Aw03,college,college,college,3,7,Content,0.15069222,NOUN
2,2Aw04,4,1,Aw04,Middle1,Middle1,seems,seems,seems,4,5,Content,0.12301522,VERB
2,2Aw05,5,1,Aw05,Middle1,Middle1,out,out,out,5,3,Function,0.15622136,ADP
2,2Aw06,6,1,Aw06,Middle1,Middle1,of,of,of,6,2,Function,WordNotInVocabulary,ADP
2,2Aw07,7,1,Aw07,Middle1,Middle1,reach,reach,reach,7,5,Content,0.106487475,NOUN
2,2Aw08,8,1,Aw08,Middle1,Middle1,for,for,for,8,3,Function,0.33703205,ADP
2,2Aw09,9,1,Aw09,Middle1,Middle1,many,many,many,9,4,Content,0.2470963,ADJ
2,2Aw10,10,1,Aw10,Middle1,Middle1,"Americans,","Americans,",Americans,10,9,Content,0.1638814,PROPN
2,2Aw11,11,1,Aw11,Middle1,Middle1,so,so,so,11,2,Function,0.4542674,ADV
2,2Aw12,12,1,Aw12,Middle1,Middle1,the,the,the,12,3,Function,0.29110456,PRON
2,2Aw13,13,1,Aw13,Middle1,Middle1,idea,idea,idea,13,4,Content,0.2099705,NOUN
2,2Aw14,14,1,Aw14,Middle1,Middle1,of,of,of,14,2,Function,WordNotInVocabulary,ADP
2,2Aw15,15,1,Aw15,Middle1,Middle1,free,free,free,15,4,Content,0.17913216,ADJ
2,2Aw16,16,1,Aw16,Middle1,Middle1,college,college,college,16,7,Content,0.4924877,NOUN
2,2Aw17,17,1,Aw17,AEN-2,AEN-2,has,has,has,17,3,Content,0.19695501,VERB
2,2Aw18,18,1,Aw18,AEN-1,AEN-1,broad,broad,broad,18,5,Content,0.12877037,ADJ
2,2Aw19,19,1,Aw19,AEN,AEN,appeal.,appeal.,appeal,19,6,Content,0.18711227,NOUN
2,2Bw01,20,2,Bw01,Bw01,Bw01,Several,Several,Several,1,7,Content,,ADJ
2,2Bw02,21,2,Bw02,Bw02,Bw02,Democratic,Democratic,Democratic,2,10,Content,0.01029538,ADJ
2,2Bw03,22,2,Bw03,Bw03,Bw03,presidential,presidential,presidential,3,12,Content,0.35118926,ADJ
2,2Bw04,23,2,Bw04,Middle2,Middle2,candidates,candidates,candidates,4,10,Content,0.386493,NOUN
2,2Bw05,24,2,Bw05,Middle2,Middle2,and,and,and,5,3,Function,WordNotInVocabulary,CCONJ
2,2Bw06,25,2,Bw06,Middle2,Middle2,members,members,members,6,7,Content,0.22500433,NOUN
2,2Bw07,26,2,Bw07,Middle2,Middle2,of,of,of,7,2,Function,WordNotInVocabulary,ADP
2,2Bw08,27,2,Bw08,Middle2,Middle2,Congress,Congress,Congress,8,8,Content,0.35286325,PROPN
2,2Bw09,28,2,Bw09,BEN-2,BEN-2,have,have,have,9,4,Content,0.20211224,VERB
2,2Bw10,29,2,Bw10,BEN-1,BEN-1,endorsed,endorsed,endorsed,10,8,Content,0.30561575,VERB
2,2Bw11,30,2,Bw11,BEN,BEN,it.,it.,it,11,2,Function,0.18857026,PRON
3,3Aw01,1,1,Aw01,Aw01,Aw01,Very,Very,Very,1,4,Content,,ADV
3,3Aw02,2,1,Aw02,Aw02,Aw02,few,few,few,2,3,Content,0.1898422,ADJ
3,3Aw03,3,1,Aw03,Aw03,Aw03,issues,issues,issues,3,6,Content,0.1473002,NOUN
3,3Aw04,4,1,Aw04,Middle1,Middle1,can,can,can,4,3,Function,0.27303982,AUX
3,3Aw05,5,1,Aw05,Middle1,Middle1,bring,bring,bring,5,5,Content,0.19822963,VERB
3,3Aw06,6,1,Aw06,Middle1,Middle1,together,together,together,6,8,Content,0.30000842,ADV
3,3Aw07,7,1,Aw07,Middle1,Middle1,lawmakers,lawmakers,lawmakers,7,9,Content,0.16010039,NOUN
3,3Aw08,8,1,Aw08,AEN-2,AEN-2,of,of,of,8,2,Function,WordNotInVocabulary,ADP
3,3Aw09,9,1,Aw09,AEN-1,AEN-1,both,both,both,9,4,Function,0.4374748,PRON
3,3Aw10,10,1,Aw10,AEN,AEN,parties.,parties.,parties,10,7,Content,0.33400488,NOUN
3,3Bw01,11,2,Bw01,Bw01,Bw01,Animal,Animal,Animal,1,6,Content,,PROPN
3,3Bw02,12,2,Bw02,Bw02,Bw02,cruelty,cruelty,cruelty,2,7,Content,0.41137844,NOUN
3,3Bw03,13,2,Bw03,Bw03,Bw03,is,is,is,3,2,Content,0.08655151,AUX
3,3Bw04,14,2,Bw04,BEN-2,BEN-2,one,one,one,4,3,Function,0.19771679,NUM
3,3Bw05,15,2,Bw05,BEN-1,BEN-1,of,of,of,5,2,Function,WordNotInVocabulary,ADP
3,3Bw06,16,2,Bw06,BEN,BEN,them.,them.,them,6,4,Function,0.1794592,PRON
4,4Aw01,1,1,Aw01,Aw01,Aw01,Koalas,Koalas,Koalas,1,6,Content,,PROPN
4,4Aw02,2,1,Aw02,Aw02,Aw02,have,have,have,2,4,Content,0.106627166,VERB
4,4Aw03,3,1,Aw03,Aw03,Aw03,been,been,been,3,4,Content,0.28827062,AUX
4,4Aw04,4,1,Aw04,Middle1,Middle1,running,running,running,4,7,Content,0.068941616,VERB
4,4Aw05,5,1,Aw05,AEN-2,AEN-2,into,into,into,5,4,Function,0.12587664,ADP
4,4Aw06,6,1,Aw06,AEN-1,AEN-1,hard,hard,hard,6,4,Content,0.15364462,ADJ
4,4Aw07,7,1,Aw07,AEN,AEN,times.,times.,times,7,5,Content,0.34590778,NOUN
4,4Bw01,8,2,Bw01,Bw01,Bw01,They,They,They,1,4,Function,,PRON
4,4Bw02,9,2,Bw02,Bw02,Bw02,have,have,have,2,4,Content,NA,VERB
4,4Bw03,10,2,Bw03,Bw03,Bw03,suffered,suffered,suffered,3,8,Content,0.17592643,VERB
4,4Bw04,11,2,Bw04,Middle2,Middle2,for,for,for,4,3,Function,0.2314191,ADP
4,4Bw05,12,2,Bw05,Middle2,Middle2,years,years,years,5,5,Content,0.24173297,NOUN
4,4Bw06,13,2,Bw06,Middle2,Middle2,from,from,from,6,4,Function,0.19174264,ADP
4,4Bw07,14,2,Bw07,Middle2,Middle2,habitat,habitat,habitat,7,7,Content,0.06031616,NOUN
4,4Bw08,15,2,Bw08,Middle2,Middle2,"destruction,","destruction,",destruction,8,11,Content,0.233231,NOUN
4,4Bw09,16,2,Bw09,Middle2,Middle2,dog,dog,dog,9,3,Content,0.13709939,NOUN
4,4Bw10,17,2,Bw10,BEN-2,BEN-2,"attacks,","attacks,",attacks,10,7,Content,0.2628802,NOUN
4,4Bw11,18,2,Bw11,BEN-1,BEN-1,automobile,automobile,automobile,11,10,Content,0.18794899,NOUN
4,4Bw12,19,2,Bw12,BEN,BEN,accidents.,accidents.,accidents,12,9,Content,0.40975344,NOUN
5,5Aw01,1,1,Aw01,Aw01,Aw01,Some,Some,Some,1,4,Function,,PRON
5,5Aw02,2,1,Aw02,Aw02,Aw02,recent,recent,recent,2,6,Content,NA,ADJ
5,5Aw03,3,1,Aw03,Aw03,Aw03,reports,reports,reports,3,7,Content,0.27101427,NOUN
5,5Aw04,4,1,Aw04,Middle1,Middle1,have,have,have,4,4,Content,0.249044,VERB
5,5Aw05,5,1,Aw05,Middle1,Middle1,suggested,suggested,suggested,5,9,Content,0.235191,VERB
5,5Aw06,6,1,Aw06,Middle1,Middle1,that,that,that,6,4,Function,0.38405734,SCONJ
5,5Aw07,7,1,Aw07,Middle1,Middle1,women,women,women,7,5,Content,0.08078055,NOUN
5,5Aw08,8,1,Aw08,Middle1,Middle1,who,who,who,8,3,Function,0.24401322,PRON
5,5Aw09,9,1,Aw09,Middle1,Middle1,give,give,give,9,4,Content,0.1934418,VERB
5,5Aw10,10,1,Aw10,Middle1,Middle1,birth,birth,birth,10,5,Content,0.15261215,NOUN
5,5Aw11,11,1,Aw11,Middle1,Middle1,by,by,by,11,2,Function,0.25702783,ADP
5,5Aw12,12,1,Aw12,Middle1,Middle1,cesarean,cesarean,cesarean,12,8,Content,0.2992407,PROPN
5,5Aw13,13,1,Aw13,Middle1,Middle1,section,section,section,13,7,Content,0.124136426,NOUN
5,5Aw14,14,1,Aw14,Middle1,Middle1,are,are,are,14,3,Content,0.26777005,AUX
5,5Aw15,15,1,Aw15,Middle1,Middle1,more,more,more,15,4,Content,0.23262987,ADJ
5,5Aw16,16,1,Aw16,Middle1,Middle1,likely,likely,likely,16,6,Content,0.28460923,ADV
5,5Aw17,17,1,Aw17,Middle1,Middle1,to,to,to,17,2,Function,WordNotInVocabulary,ADP
5,5Aw18,18,1,Aw18,AEN-2,AEN-2,have,have,have,18,4,Content,0.5057912,VERB
5,5Aw19,19,1,Aw19,AEN-1,AEN-1,obese,obese,obese,19,5,Content,0.35361838,PROPN
5,5Aw20,20,1,Aw20,AEN,AEN,children.,children.,children,20,8,Content,0.3459336,NOUN
5,5Bw01,21,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,,CCONJ
5,5Bw02,22,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,WordNotInVocabulary,INTJ
5,5Bw03,23,2,Bw03,Bw03,Bw03,large,large,large,3,5,Content,NA,ADJ
5,5Bw04,24,2,Bw04,Middle2,Middle2,new,new,new,4,3,Content,0.14097658,ADJ
5,5Bw05,25,2,Bw05,Middle2,Middle2,study,study,study,5,5,Content,0.1558371,NOUN
5,5Bw06,26,2,Bw06,Middle2,Middle2,found,found,found,6,5,Content,0.24949983,VERB
5,5Bw07,27,2,Bw07,Middle2,Middle2,no,no,no,7,2,Function,0.20494223,INTJ
5,5Bw08,28,2,Bw08,Middle2,Middle2,link,link,link,8,4,Content,0.21513611,NOUN
5,5Bw09,29,2,Bw09,Middle2,Middle2,between,between,between,9,7,Function,0.26256648,ADP
5,5Bw10,30,2,Bw10,Middle2,Middle2,the,the,the,10,3,Function,0.354587,PRON
5,5Bw11,31,2,Bw11,Middle2,Middle2,method,method,method,11,6,Content,0.22541612,NOUN
5,5Bw12,32,2,Bw12,Middle2,Middle2,of,of,of,12,2,Function,WordNotInVocabulary,ADP
5,5Bw13,33,2,Bw13,BEN-2,BEN-2,birth,birth,birth,13,5,Content,0.12873033,NOUN
5,5Bw14,34,2,Bw14,BEN-1,BEN-1,and,and,and,14,3,Function,WordNotInVocabulary,CCONJ
5,5Bw15,35,2,Bw15,BEN,BEN,obesity.,obesity.,obesity,15,7,Content,0.24469267,NOUN
6,6Aw01,1,1,Aw01,Aw01,Aw01,Pancreatic,Pancreatic,Pancreatic,1,10,Content,,ADJ
6,6Aw02,2,1,Aw02,Aw02,Aw02,cancer,cancer,cancer,2,6,Content,0.49660572,NOUN
6,6Aw03,3,1,Aw03,Aw03,Aw03,has,has,has,3,3,Content,0.04361205,VERB
6,6Aw04,4,1,Aw04,AEN-2,AEN-2,a,a,a,4,1,Function,WordNotInVocabulary,INTJ
6,6Aw05,5,1,Aw05,AEN-1,AEN-1,bad,bad,bad,5,3,Content,0.082994536,ADJ
6,6Aw06,6,1,Aw06,AEN,AEN,reputation.,reputation.,reputation,6,10,Content,0.15723279,NOUN
6,6Bw01,7,2,Bw01,Bw01,Bw01,It,It,It,1,2,Function,,PRON
6,6Bw02,8,2,Bw02,Bw02,Bw02,is,is,is,2,2,Content,NA,AUX
6,6Bw03,9,2,Bw03,Bw03,Bw03,a,a,a,3,1,Function,WordNotInVocabulary,INTJ
6,6Bw04,10,2,Bw04,Middle2,Middle2,terrible,terrible,terrible,4,8,Content,0.12493759,ADJ
6,6Bw05,11,2,Bw05,Middle2,Middle2,"disease,","disease,",disease,5,7,Content,0.17549004,NOUN
6,6Bw06,12,2,Bw06,Middle2,Middle2,but,but,but,6,3,Function,0.29927915,CCONJ
6,6Bw07,13,2,Bw07,Middle2,Middle2,most,most,most,7,4,Content,0.20816326,ADJ
6,6Bw08,14,2,Bw08,Middle2,Middle2,people,people,people,8,6,Content,0.29368496,NOUN
6,6Bw09,15,2,Bw09,Middle2,Middle2,do,do,do,9,2,Content,0.41330627,VERB
6,6Bw10,16,2,Bw10,Middle2,Middle2,not,not,not,10,3,Content,0.5631689,PART
6,6Bw11,17,2,Bw11,Middle2,Middle2,realize,realize,realize,11,7,Content,0.39664626,VERB
6,6Bw12,18,2,Bw12,Middle2,Middle2,there,there,there,12,5,Content,0.44719115,ADV
6,6Bw13,19,2,Bw13,Middle2,Middle2,are,are,are,13,3,Content,0.41579205,AUX
6,6Bw14,20,2,Bw14,Middle2,Middle2,ways,ways,ways,14,4,Content,0.2950818,NOUN
6,6Bw15,21,2,Bw15,Middle2,Middle2,that,that,that,15,4,Function,0.560613,SCONJ
6,6Bw16,22,2,Bw16,Middle2,Middle2,early,early,early,16,5,Content,0.20562993,ADV
6,6Bw17,23,2,Bw17,BEN-2,BEN-2,detection,detection,detection,17,9,Content,0.1557828,NOUN
6,6Bw18,24,2,Bw18,BEN-1,BEN-1,can,can,can,18,3,Function,0.49189958,AUX
6,6Bw19,25,2,Bw19,BEN,BEN,help.,help.,help,19,4,Content,0.37341145,VERB
7,7Aw01,1,1,Aw01,Aw01,Aw01,Some,Some,Some,1,4,Function,,PRON
7,7Aw02,2,1,Aw02,Aw02,Aw02,nutrition,nutrition,nutrition,2,9,Content,NA,NOUN
7,7Aw03,3,1,Aw03,Aw03,Aw03,experts,experts,experts,3,7,Content,0.16736598,NOUN
7,7Aw04,4,1,Aw04,Middle1,Middle1,say,say,say,4,3,Content,0.18350993,VERB
7,7Aw05,5,1,Aw05,Middle1,Middle1,eggs,eggs,eggs,5,4,Content,0.16074216,NOUN
7,7Aw06,6,1,Aw06,Middle1,Middle1,are,are,are,6,3,Content,0.21490258,AUX
7,7Aw07,7,1,Aw07,Middle1,Middle1,good,good,good,7,4,Content,0.21325812,ADJ
7,7Aw08,8,1,Aw08,Middle1,Middle1,for,for,for,8,3,Function,0.2814923,ADP
7,7Aw09,9,1,Aw09,Middle1,Middle1,"you,","you,",you,9,3,Function,0.32615405,PRON
7,7Aw10,10,1,Aw10,Middle1,Middle1,even,even,even,10,4,Content,0.313214,ADV
7,7Aw11,11,1,Aw11,Middle1,Middle1,though,though,though,11,6,Function,0.39806432,ADV
7,7Aw12,12,1,Aw12,Middle1,Middle1,they,they,they,12,4,Function,0.47888494,PRON
7,7Aw13,13,1,Aw13,Middle1,Middle1,are,are,are,13,3,Content,0.4896687,AUX
7,7Aw14,14,1,Aw14,AEN-2,AEN-2,high,high,high,14,4,Content,0.19854827,ADJ
7,7Aw15,15,1,Aw15,AEN-1,AEN-1,in,in,in,15,2,Function,0.2649505,ADP
7,7Aw16,16,1,Aw16,AEN,AEN,cholesterol.,cholesterol.,cholesterol,16,11,Content,0.31308746,NOUN
7,7Bw01,17,2,Bw01,Bw01,Bw01,Others,Others,Others,1,6,Content,,NOUN
7,7Bw02,18,2,Bw02,Bw02,Bw02,are,are,are,2,3,Content,0.22417134,AUX
7,7Bw03,19,2,Bw03,Bw03,Bw03,sure,sure,sure,3,4,Content,0.16305675,INTJ
7,7Bw04,20,2,Bw04,BEN-2,BEN-2,they,they,they,4,4,Function,0.5756279,PRON
7,7Bw05,21,2,Bw05,BEN-1,BEN-1,are,are,are,5,3,Content,0.711243,AUX
7,7Bw06,22,2,Bw06,BEN,BEN,bad.,bad.,bad,6,3,Content,0.21184608,ADJ
8,8Aw01,1,1,Aw01,Aw01,Aw01,Experts,Experts,Experts,1,7,Content,,NOUN
8,8Aw02,2,1,Aw02,Aw02,Aw02,generally,generally,generally,2,9,Content,0.16900411,ADV
8,8Aw03,3,1,Aw03,Aw03,Aw03,agree,agree,agree,3,5,Content,0.21622251,VERB
8,8Aw04,4,1,Aw04,Middle1,Middle1,that,that,that,4,4,Function,0.3292762,SCONJ
8,8Aw05,5,1,Aw05,Middle1,Middle1,watching,watching,watching,5,8,Content,0.13032413,VERB
8,8Aw06,6,1,Aw06,Middle1,Middle1,a,a,a,6,1,Function,WordNotInVocabulary,INTJ
8,8Aw07,7,1,Aw07,Middle1,Middle1,lot,lot,lot,7,3,Content,0.3001459,NOUN
8,8Aw08,8,1,Aw08,Middle1,Middle1,of,of,of,8,2,Function,WordNotInVocabulary,ADP
8,8Aw09,9,1,Aw09,Middle1,Middle1,television,television,television,9,10,Content,0.20945,NOUN
8,8Aw10,10,1,Aw10,Middle1,Middle1,is,is,is,10,2,Content,0.19247918,AUX
8,8Aw11,11,1,Aw11,AEN-2,AEN-2,bad,bad,bad,11,3,Content,0.32516214,ADJ
8,8Aw12,12,1,Aw12,AEN-1,AEN-1,for,for,for,12,3,Function,0.31010187,ADP
8,8Aw13,13,1,Aw13,AEN,AEN,children.,children.,children,13,8,Content,0.192803,NOUN
8,8Bw01,14,2,Bw01,Bw01,Bw01,Now,Now,Now,1,3,Content,,INTJ
8,8Bw02,15,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,WordNotInVocabulary,INTJ
8,8Bw03,16,2,Bw03,Bw03,Bw03,new,new,new,3,3,Content,0.26457247,ADJ
8,8Bw04,17,2,Bw04,Middle2,Middle2,study,study,study,4,5,Content,0.07273813,NOUN
8,8Bw05,18,2,Bw05,Middle2,Middle2,suggests,suggests,suggests,5,8,Content,0.31442675,VERB
8,8Bw06,19,2,Bw06,Middle2,Middle2,it,it,it,6,2,Function,0.25544927,PRON
8,8Bw07,20,2,Bw07,Middle2,Middle2,may,may,may,7,3,Function,0.3794424,AUX
8,8Bw08,21,2,Bw08,Middle2,Middle2,not,not,not,8,3,Content,0.27552155,PART
8,8Bw09,22,2,Bw09,Middle2,Middle2,be,be,be,9,2,Content,0.37400064,AUX
8,8Bw10,23,2,Bw10,Middle2,Middle2,very,very,very,10,4,Content,0.34928143,ADV
8,8Bw11,24,2,Bw11,Middle2,Middle2,good,good,good,11,4,Content,0.3648033,ADJ
8,8Bw12,25,2,Bw12,BEN-2,BEN-2,for,for,for,12,3,Function,0.3884328,ADP
8,8Bw13,26,2,Bw13,BEN-1,BEN-1,"adults,","adults,",adults,13,6,Content,0.24795692,NOUN
8,8Bw14,27,2,Bw14,BEN,BEN,either.,either.,either,14,6,Function,0.4159062,ADV
9,9Aw01,1,1,Aw01,Aw01,Aw01,Legislators,Legislators,Legislators,1,11,Content,,NOUN
9,9Aw02,2,1,Aw02,Aw02,Aw02,and,and,and,2,3,Function,WordNotInVocabulary,CCONJ
9,9Aw03,3,1,Aw03,Aw03,Aw03,gun,gun,gun,3,3,Content,0.15112928,NOUN
9,9Aw04,4,1,Aw04,Middle1,Middle1,safety,safety,safety,4,6,Content,0.15697788,NOUN
9,9Aw05,5,1,Aw05,Middle1,Middle1,advocates,advocates,advocates,5,9,Content,0.42008075,NOUN
9,9Aw06,6,1,Aw06,Middle1,Middle1,often,often,often,6,5,Content,0.19310875,ADV
9,9Aw07,7,1,Aw07,Middle1,Middle1,focus,focus,focus,7,5,Content,0.11104755,NOUN
9,9Aw08,8,1,Aw08,Middle1,Middle1,on,on,on,8,2,Function,0.17341435,ADP
9,9Aw09,9,1,Aw09,Middle1,Middle1,how,how,how,9,3,Content,0.25166905,SCONJ
9,9Aw10,10,1,Aw10,AEN-2,AEN-2,guns,guns,guns,10,4,Content,0.44565648,NOUN
9,9Aw11,11,1,Aw11,AEN-1,AEN-1,are,are,are,11,3,Content,0.23900224,AUX
9,9Aw12,12,1,Aw12,AEN,AEN,purchased.,purchased.,purchased,12,9,Content,0.030031903,VERB
9,9Bw01,13,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,,CCONJ
9,9Bw02,14,2,Bw02,Bw02,Bw02,many,many,many,2,4,Content,NA,ADJ
9,9Bw03,15,2,Bw03,Bw03,Bw03,lives,lives,lives,3,5,Content,0.20561655,NOUN
9,9Bw04,16,2,Bw04,Middle2,Middle2,could,could,could,4,5,Function,0.25803745,AUX
9,9Bw05,17,2,Bw05,Middle2,Middle2,be,be,be,5,2,Content,0.13837607,AUX
9,9Bw06,18,2,Bw06,Middle2,Middle2,"saved,","saved,",saved,6,5,Content,0.25982466,VERB
9,9Bw07,19,2,Bw07,Middle2,Middle2,especially,especially,especially,7,10,Content,0.31953928,ADV
9,9Bw08,20,2,Bw08,Middle2,Middle2,among,among,among,8,5,Function,0.26946476,ADP
9,9Bw09,21,2,Bw09,Middle2,Middle2,"children,","children,",children,9,8,Content,0.2987,NOUN
9,9Bw10,22,2,Bw10,Middle2,Middle2,if,if,if,10,2,Function,0.34157246,SCONJ
9,9Bw11,23,2,Bw11,Middle2,Middle2,they,they,they,11,4,Function,0.41102806,PRON
9,9Bw12,24,2,Bw12,Middle2,Middle2,looked,looked,looked,12,6,Content,0.22587995,VERB
9,9Bw13,25,2,Bw13,Middle2,Middle2,more,more,more,13,4,Content,0.31363335,ADJ
9,9Bw14,26,2,Bw14,Middle2,Middle2,at,at,at,14,2,Function,0.18723899,ADP
9,9Bw15,27,2,Bw15,Middle2,Middle2,how,how,how,15,3,Content,0.36318436,SCONJ
9,9Bw16,28,2,Bw16,BEN-2,BEN-2,they,they,they,16,4,Function,0.5066902,PRON
9,9Bw17,29,2,Bw17,BEN-1,BEN-1,are,are,are,17,3,Content,0.44365412,AUX
9,9Bw18,30,2,Bw18,BEN,BEN,stored.,stored.,stored,18,6,Content,0.20931338,VERB
10,10Aw01,1,1,Aw01,Aw01,Aw01,Most,Most,Most,1,4,Content,,ADJ
10,10Aw02,2,1,Aw02,Aw02,Aw02,cricket,cricket,cricket,2,7,Content,0.08098259,NOUN
10,10Aw03,3,1,Aw03,Aw03,Aw03,"species,","species,",species,3,7,Content,0.12149158,NOUN
10,10Aw04,4,1,Aw04,Middle1,Middle1,indoors,indoors,indoors,4,7,Content,0.15161106,NOUN
10,10Aw05,5,1,Aw05,Middle1,Middle1,or,or,or,5,2,Function,0.16541782,CCONJ
10,10Aw06,6,1,Aw06,AEN-2,AEN-2,"outdoors,","outdoors,",outdoors,6,8,Content,0.47905394,NOUN
10,10Aw07,7,1,Aw07,AEN-1,AEN-1,are,are,are,7,3,Content,0.18441921,AUX
10,10Aw08,8,1,Aw08,AEN,AEN,omnivorous.,omnivorous.,omnivorous,8,10,Content,0.20370081,ADJ
10,10Bw01,9,2,Bw01,Bw01,Bw01,They,They,They,1,4,Function,,PRON
10,10Bw02,10,2,Bw02,Bw02,Bw02,will,will,will,2,4,Function,NA,AUX
10,10Bw03,11,2,Bw03,Bw03,Bw03,eat,eat,eat,3,3,Content,NA,VERB
10,10Bw04,12,2,Bw04,Middle2,Middle2,almost,almost,almost,4,6,Content,0.11783372,ADV
10,10Bw05,13,2,Bw05,Middle2,Middle2,any,any,any,5,3,Function,0.22022949,INTJ
10,10Bw06,14,2,Bw06,Middle2,Middle2,organic,organic,organic,6,7,Content,0.2713705,ADJ
10,10Bw07,15,2,Bw07,Middle2,Middle2,"material,","material,",material,7,8,Content,0.15529002,NOUN
10,10Bw08,16,2,Bw08,Middle2,Middle2,usually,usually,usually,8,7,Content,0.262129,ADV
10,10Bw09,17,2,Bw09,Middle2,Middle2,preferring,preferring,preferring,9,10,Content,0.24981885,VERB
10,10Bw10,18,2,Bw10,Middle2,Middle2,items,items,items,10,5,Content,0.26593366,NOUN
10,10Bw11,19,2,Bw11,BEN-2,BEN-2,derived,derived,derived,11,7,Content,0.27128842,VERB
10,10Bw12,20,2,Bw12,BEN-1,BEN-1,from,from,from,12,4,Function,0.31278473,ADP
10,10Bw13,21,2,Bw13,BEN,BEN,plants.,plants.,plants,13,6,Content,0.2534295,NOUN
11,11Aw01,1,1,Aw01,Aw01,Aw01,The,The,The,1,3,Function,,PRON
11,11Aw02,2,1,Aw02,Aw02,Aw02,American,American,American,2,8,Content,NA,PROPN
11,11Aw03,3,1,Aw03,Aw03,Aw03,medical,medical,medical,3,7,Content,0.10122438,ADJ
11,11Aw04,4,1,Aw04,Middle1,Middle1,malpractice,malpractice,malpractice,4,11,Content,0.25929493,NOUN
11,11Aw05,5,1,Aw05,Middle1,Middle1,system,system,system,5,6,Content,0.15899183,NOUN
11,11Aw06,6,1,Aw06,Middle1,Middle1,is,is,is,6,2,Content,0.11551802,AUX
11,11Aw07,7,1,Aw07,Middle1,Middle1,doing,doing,doing,7,5,Content,0.148665,VERB
