Passage,NewID,Word,WordWithPunctuation,WordNoPunctuation,WordClass,PartOfSpeech,CosineSimilarity,CosineSimilarity_Normalized
4,4Bw04,for,for,for,Function,ADP,0.3548942,0.3870274
4,4Bw05,years,years,years,Content,NOUN,0.3545568,0.37879285
4,4Bw06,from,from,from,Function,ADP,0.19411251,0.20308399
4,4Bw07,habitat,habitat,habitat,Content,NOUN,0.1753685,0.12655815
4,4Bw08,"destruction,","destruction,",destruction,Content,NOUN,0.17232579,0.1402516
4,4Bw09,dog,dog,dog,Content,NOUN,0.21489838,0.1943372
4,4Bw10,"attacks,","attacks,",attacks,Content,NOUN,0.26810408,0.2666741
4,4Bw11,automobile,automobile,automobile,Content,NOUN,0.13976745,0.14649951
4,4Bw12,accidents.,accidents.,accidents,Content,NOUN,0.359288,0.3400071
5,5Aw01,Some,Some,Some,Function,DET,null,null
5,5Aw02,recent,recent,recent,Content,ADJ,null,null
5,5Aw03,reports,reports,reports,Content,NOUN,0.27101424,0.27101424
5,5Aw04,have,have,have,Content,AUX,0.249044,0.25943872
5,5Aw05,suggested,suggested,suggested,Content,VERB,0.23519103,0.22964978
5,5Aw06,that,that,that,Function,SCONJ,0.38405734,0.4080116
5,5Aw07,women,women,women,Content,NOUN,0.08078055,0.09144469
5,5Aw08,who,who,who,Function,PRON,0.2440132,0.25900376
5,5Aw09,give,give,give,Content,VERB,0.19344181,0.21665975
5,5Aw10,birth,birth,birth,Content,NOUN,0.15261213,0.14263657
5,5Aw11,by,by,by,Function,ADP,0.2570278,0.27930918
5,5Aw12,cesarean,cesarean,cesarean,Content,ADJ,0.29924068,0.2524404
5,5Aw13,section,section,section,Content,NOUN,0.124136426,0.124507606
5,5Aw14,are,are,are,Content,AUX,0.26777002,0.3146998
5,5Aw15,more,more,more,Content,ADV,0.23262984,0.2794632
5,5Aw16,likely,likely,likely,Content,ADJ,0.28460923,0.32395312
5,5Aw17,to,to,to,Function,PART,null,null
5,5Aw18,have,have,have,Content,VERB,0.5057912,0.596157
5,5Aw19,obese,obese,obese,Content,ADJ,0.35361835,0.2991041
5,5Aw20,children.,children.,children,Content,NOUN,0.34593356,0.3134652
5,5Bw01,But,But,But,Function,CCONJ,0.21762255,0.24868762
5,5Bw02,a,a,a,Function,DET,null,null
5,5Bw03,large,large,large,Content,ADJ,0.20395227,0.22817491
5,5Bw04,new,new,new,Content,ADJ,0.23564695,0.27111483
5,5Bw05,study,study,study,Content,NOUN,0.3505718,0.33198705
5,5Bw06,found,found,found,Content,VERB,0.33860758,0.345843
5,5Bw07,no,no,no,Function,DET,0.27556103,0.313869
5,5Bw08,link,link,link,Content,NOUN,0.2438771,0.24867132
5,5Bw09,between,between,between,Function,ADP,0.25778887,0.2829784
5,5Bw10,the,the,the,Function,DET,0.41014376,0.46361408
5,5Bw11,method,method,method,Content,NOUN,0.17576341,0.17499019
5,5Bw12,of,of,of,Function,ADP,null,null
5,5Bw13,birth,birth,birth,Content,NOUN,0.43187246,0.3472393
5,5Bw14,and,and,and,Function,CCONJ,null,null
5,5Bw15,obesity.,obesity.,obesity,Content,NOUN,0.40111032,0.34595424
6,6Aw01,Pancreatic,Pancreatic,Pancreatic,Content,ADJ,null,null
6,6Aw02,cancer,cancer,cancer,Content,NOUN,0.49660572,0.4966058
6,6Aw03,has,has,has,Content,VERB,0.04361205,0.044406176
6,6Aw04,a,a,a,Function,DET,null,null
6,6Aw05,bad,bad,bad,Content,ADJ,0.08299454,0.097843535
6,6Aw06,reputation.,reputation.,reputation,Content,NOUN,0.15723279,0.1872188
6,6Bw01,It,It,It,Function,PRON,0.19328211,0.21480057
6,6Bw02,is,is,is,Content,AUX,0.2381718,0.2931546
6,6Bw03,a,a,a,Function,DET,null,null
6,6Bw04,terrible,terrible,terrible,Content,ADJ,0.3522945,0.37839723
6,6Bw05,"disease,","disease,",disease,Content,NOUN,0.46131217,0.40811577
6,6Bw06,but,but,but,Function,CCONJ,0.3059001,0.34828076
6,6Bw07,most,most,most,Content,ADJ,0.2204022,0.23601481
6,6Bw08,people,people,people,Content,NOUN,0.23526634,0.25154722
6,6Bw09,do,do,do,Content,AUX,0.34027842,0.38164842
6,6Bw10,not,not,not,Content,PART,0.44613707,0.5136598
6,6Bw11,realize,realize,realize,Content,VERB,0.3086786,0.34533376
6,6Bw12,there,there,there,Content,PRON,0.36157948,0.4122355
6,6Bw13,are,are,are,Content,VERB,0.33944914,0.38869807
6,6Bw14,ways,ways,ways,Content,NOUN,0.2916653,0.2986323
6,6Bw15,that,that,that,Function,PRON,0.52273065,0.56928873
6,6Bw16,early,early,early,Content,ADJ,0.22022592,0.22356717
6,6Bw17,detection,detection,detection,Content,NOUN,0.198805,0.17414999
6,6Bw18,can,can,can,Function,AUX,0.43327844,0.48160902
6,6Bw19,help.,help.,help,Content,VERB,0.35927936,0.36552036
7,7Aw01,Some,Some,Some,Function,DET,null,null
7,7Aw02,nutrition,nutrition,nutrition,Content,NOUN,null,null
7,7Aw03,experts,experts,experts,Content,NOUN,0.16736597,0.167366
7,7Aw04,say,say,say,Content,VERB,0.18350993,0.19261858
7,7Aw05,eggs,eggs,eggs,Content,NOUN,0.16074213,0.1576402
7,7Aw06,are,are,are,Content,AUX,0.21490256,0.23928519
7,7Aw07,good,good,good,Content,ADJ,0.21325809,0.22361617
7,7Aw08,for,for,for,Function,ADP,0.2814923,0.31474054
7,7Aw09,"you,","you,",you,Function,PRON,0.32615405,0.3453861
7,7Aw10,even,even,even,Content,ADV,0.31321394,0.34740552
7,7Aw11,though,though,though,Function,SCONJ,0.39806426,0.48795268
7,7Aw12,they,they,they,Function,PRON,0.47888488,0.53727126
7,7Aw13,are,are,are,Content,AUX,0.48966864,0.5414067
7,7Aw14,high,high,high,Content,ADJ,0.19854827,0.21110311
7,7Aw15,in,in,in,Function,ADP,0.2649505,0.29010674
7,7Aw16,cholesterol.,cholesterol.,cholesterol,Content,NOUN,0.3130875,0.27951565
7,7Bw01,Others,Others,Others,Content,NOUN,0.2166127,0.24152452
7,7Bw02,are,are,are,Content,AUX,0.5836942,0.64501727
7,7Bw03,sure,sure,sure,Content,ADJ,0.30302945,0.334476
7,7Bw04,they,they,they,Function,PRON,0.52920073,0.57854676
7,7Bw05,are,are,are,Content,AUX,0.6624288,0.71096003
7,7Bw06,bad.,bad.,bad,Content,ADJ,0.3485201,0.35724875
8,8Aw01,Experts,Experts,Experts,Content,NOUN,null,null
8,8Aw02,generally,generally,generally,Content,ADV,0.1690041,0.16900411
8,8Aw03,agree,agree,agree,Content,VERB,0.21622252,0.21586809
8,8Aw04,that,that,that,Function,SCONJ,0.3292762,0.3366451
8,8Aw05,watching,watching,watching,Content,VERB,0.13032414,0.13112333
8,8Aw06,a,a,a,Function,DET,null,null
8,8Aw07,lot,lot,lot,Content,NOUN,0.3001459,0.31118795
8,8Aw08,of,of,of,Function,ADP,null,null
8,8Aw09,television,television,television,Content,NOUN,0.20945002,0.201776
8,8Aw10,is,is,is,Content,AUX,0.19247913,0.19562763
8,8Aw11,bad,bad,bad,Content,ADJ,0.32516217,0.32866406
8,8Aw12,for,for,for,Function,ADP,0.31010187,0.3329502
8,8Aw13,children.,children.,children,Content,NOUN,0.19280298,0.19085857
8,8Bw01,Now,Now,Now,Content,INTJ,0.28198743,0.2882378
8,8Bw02,a,a,a,Function,DET,null,null
8,8Bw03,new,new,new,Content,ADJ,0.23162854,0.24864954
8,8Bw04,study,study,study,Content,NOUN,0.19787623,0.18918018
8,8Bw05,suggests,suggests,suggests,Content,VERB,0.30677837,0.31706083
8,8Bw06,it,it,it,Function,PRON,0.454157,0.4723051
8,8Bw07,may,may,may,Function,AUX,0.4528932,0.4707325
8,8Bw08,not,not,not,Content,PART,0.52588874,0.5340991
8,8Bw09,be,be,be,Content,AUX,0.39663142,0.43109804
8,8Bw10,very,very,very,Content,ADV,0.42320848,0.4435352
8,8Bw11,good,good,good,Content,ADJ,0.4984924,0.49262175
8,8Bw12,for,for,for,Function,ADP,0.38128972,0.40638113
8,8Bw13,"adults,","adults,",adults,Content,NOUN,0.34803793,0.32988468
8,8Bw14,either.,either.,either,Function,ADV,0.4462275,0.46463454
9,9Aw01,Legislators,Legislators,Legislators,Content,NOUN,null,null
9,9Aw02,and,and,and,Function,CCONJ,null,null
9,9Aw03,gun,gun,gun,Content,NOUN,0.15112926,0.15112928
9,9Aw04,safety,safety,safety,Content,NOUN,0.15697788,0.15392038
9,9Aw05,advocates,advocates,advocates,Content,NOUN,0.42008072,0.4277042
9,9Aw06,often,often,often,Content,ADV,0.19310875,0.1915499
9,9Aw07,focus,focus,focus,Content,VERB,0.11104755,0.115246974
9,9Aw08,on,on,on,Function,ADP,0.17341433,0.18086816
9,9Aw09,how,how,how,Content,SCONJ,0.251669,0.26743075
9,9Aw10,guns,guns,guns,Content,NOUN,0.44565648,0.40873706
9,9Aw11,are,are,are,Content,AUX,0.23900221,0.26167455
9,9Aw12,purchased.,purchased.,purchased,Content,VERB,0.030031914,0.030259322
9,9Bw01,But,But,But,Function,CCONJ,0.25216573,0.26473725
9,9Bw02,many,many,many,Content,ADJ,0.40353015,0.44816393
9,9Bw03,lives,lives,lives,Content,NOUN,0.25412107,0.26423022
9,9Bw04,could,could,could,Function,AUX,0.30162862,0.3218914
9,9Bw05,be,be,be,Content,AUX,0.31039765,0.33594927
9,9Bw06,"saved,","saved,",saved,Content,VERB,0.20040795,0.20171203
9,9Bw07,especially,especially,especially,Content,ADV,0.37771517,0.42126277
9,9Bw08,among,among,among,Function,ADP,0.26490968,0.2959272
9,9Bw09,"children,","children,",children,Content,NOUN,0.32050845,0.31261674
9,9Bw10,if,if,if,Function,SCONJ,0.3669411,0.39741284
9,9Bw11,they,they,they,Function,PRON,0.5148078,0.54126483
9,9Bw12,looked,looked,looked,Content,VERB,0.21549378,0.23378819
9,9Bw13,more,more,more,Content,ADV,0.3313021,0.35499483
9,9Bw14,at,at,at,Function,ADP,0.2048519,0.21301894
9,9Bw15,how,how,how,Content,SCONJ,0.45426983,0.48145002
9,9Bw16,they,they,they,Function,PRON,0.55439985,0.5751387
9,9Bw17,are,are,are,Content,AUX,0.48262313,0.52645963
9,9Bw18,stored.,stored.,stored,Content,VERB,0.26102912,0.24914446
10,10Aw01,Most,Most,Most,Content,ADJ,null,null
10,10Aw02,cricket,cricket,cricket,Content,NOUN,0.08098259,0.08098259
10,10Aw03,"species,","species,",species,Content,NOUN,0.121491574,0.11286215
10,10Aw04,indoors,indoors,indoors,Content,ADV,0.15161106,0.15466285
10,10Aw05,or,or,or,Function,CCONJ,0.16541782,0.1757215
10,10Aw06,"outdoors,","outdoors,",outdoors,Content,ADV,0.47905394,0.46764594
10,10Aw07,are,are,are,Content,AUX,0.1844192,0.21288283
10,10Aw08,omnivorous.,omnivorous.,omnivorous,Content,ADJ,0.2037008,0.18880361
10,10Bw01,They,They,They,Function,PRON,0.20291093,0.21643335
10,10Bw02,will,will,will,Function,AUX,0.14471027,0.18108918
10,10Bw03,eat,eat,eat,Content,VERB,0.39624807,0.39073154
10,10Bw04,almost,almost,almost,Content,ADV,0.20482914,0.22802891
10,10Bw05,any,any,any,Function,PRON,0.23293842,0.2561997
10,10Bw06,organic,organic,organic,Content,ADJ,0.26655105,0.25840196
10,10Bw07,"material,","material,",material,Content,NOUN,0.16099659,0.1691021
10,10Bw08,usually,usually,usually,Content,ADV,0.34100458,0.38396272
10,10Bw09,preferring,preferring,preferring,Content,VERB,0.22645807,0.23197207
10,10Bw10,items,items,items,Content,NOUN,0.2698888,0.27555162
10,10Bw11,derived,derived,derived,Content,VERB,0.24043204,0.24144794
10,10Bw12,from,from,from,Function,ADP,0.24905218,0.27635303
10,10Bw13,plants.,plants.,plants,Content,NOUN,0.33229443,0.31846967
11,11Aw01,The,The,The,Function,DET,null,null
11,11Aw02,American,American,American,Content,ADJ,null,null
11,11Aw03,medical,medical,medical,Content,ADJ,0.101224385,0.10122437
11,11Aw04,malpractice,malpractice,malpractice,Content,NOUN,0.25929493,0.28338778
11,11Aw05,system,system,system,Content,NOUN,0.15899183,0.149092
11,11Aw06,is,is,is,Content,AUX,0.11551801,0.12983546
11,11Aw07,doing,doing,doing,Content,VERB,0.14866501,0.16560693
11,11Aw08,almost,almost,almost,Content,ADV,0.17405674,0.20091833
11,11Aw09,nothing,nothing,nothing,Content,PRON,0.33258495,0.36479366
11,11Aw10,to,to,to,Function,PART,null,null
11,11Aw11,improve,improve,improve,Content,VERB,0.1501515,0.16521604
11,11Aw12,the,the,the,Function,DET,0.3349862,0.37411997
11,11Aw13,quality,quality,quality,Content,NOUN,0.30116743,0.3039349
11,11Aw14,of,of,of,Function,ADP,null,null
11,11Aw15,health,health,health,Content,NOUN,0.41192153,0.39373282
11,11Aw16,"care,","care,",care,Content,NOUN,0.47731748,0.47030386
11,11Aw17,research,research,research,Content,NOUN,0.250438,0.25009605
11,11Aw18,suggests.,suggests.,suggests,Content,VERB,0.2193687,0.23249653
11,11Bw01,What,What,What,Function,PRON,0.32606038,0.3432342
11,11Bw02,may,may,may,Function,AUX,0.27350804,0.29554385
11,11Bw03,be,be,be,Content,AUX,0.2723672,0.29992947
11,11Bw04,more,more,more,Content,ADV,0.2949472,0.31576282
11,11Bw05,concerning,concerning,concerning,Content,ADJ,0.2366845,0.2413586
11,11Bw06,is,is,is,Content,AUX,0.4303354,0.48349983
11,11Bw07,that,that,that,Function,SCONJ,0.4707367,0.50036883
11,11Bw08,there,there,there,Content,PRON,0.39403602,0.413664
11,11Bw09,is,is,is,Content,VERB,0.5119305,0.5742455
11,11Bw10,very,very,very,Content,ADV,0.39230517,0.42420635
11,11Bw11,little,little,little,Content,ADJ,0.42237416,0.44181567
11,11Bw12,"discussion,","discussion,",discussion,Content,NOUN,0.20750578,0.21169215
11,11Bw13,much,much,much,Content,ADV,0.44744176,0.46843663
11,11Bw14,less,less,less,Content,ADJ,0.424662,0.45280948
11,11Bw15,"action,","action,",action,Content,NOUN,0.23052604,0.22394773
11,11Bw16,on,on,on,Function,ADP,0.2671182,0.27284956
11,11Bw17,reform.,reform.,reform,Content,NOUN,0.3341645,0.30697188
12,12Aw01,Many,Many,Many,Content,ADJ,null,null
12,12Aw02,studies,studies,studies,Content,NOUN,0.06473788,0.06473787
12,12Aw03,have,have,have,Content,AUX,0.3350113,0.37981883
12,12Aw04,found,found,found,Content,VERB,0.23826961,0.23369175
12,12Aw05,that,that,that,Function,SCONJ,0.3973352,0.43474108
12,12Aw06,obesity,obesity,obesity,Content,NOUN,0.22007209,0.20438936
12,12Aw07,is,is,is,Content,AUX,0.18142444,0.1932094
12,12Aw08,associated,associated,associated,Content,VERB,0.20903967,0.20634772
12,12Aw09,with,with,with,Function,ADP,0.3259494,0.36382404
12,12Aw10,an,an,an,Function,DET,0.13772897,0.15696621
12,12Aw11,increased,increased,increased,Content,VERB,0.29955348,0.293184
12,12Aw12,risk,risk,risk,Content,NOUN,0.34876397,0.3382734
12,12Aw13,for,for,for,Function,ADP,0.30171973,0.3558189
12,12Aw14,prostate,prostate,prostate,Content,NOUN,0.21706913,0.18659978
12,12Aw15,cancer.,cancer.,cancer,Content,NOUN,0.42881376,0.36239526
12,12Bw01,Now,Now,Now,Content,ADV,0.15346637,0.17767924
12,12Bw02,a,a,a,Function,DET,null,null
12,12Bw03,new,new,new,Content,ADJ,0.20433903,0.24377087
12,12Bw04,study,study,study,Content,NOUN,0.4504985,0.41911054
12,12Bw05,suggests,suggests,suggests,Content,VERB,0.35343936,0.37173334
12,12Bw06,that,that,that,Function,SCONJ,0.37702715,0.44007364
12,12Bw07,the,the,the,Function,DET,0.33436525,0.3990422
12,12Bw08,degree,degree,degree,Content,NOUN,0.21966256,0.23493189
12,12Bw09,of,of,of,Function,ADP,null,null
12,12Bw10,risk,risk,risk,Content,NOUN,0.49407807,0.47697958
12,12Bw11,may,may,may,Function,AUX,0.42192465,0.47295296
12,12Bw12,depend,depend,depend,Content,VERB,0.18279047,0.21321057
12,12Bw13,on,on,on,Function,ADP,0.200101,0.23096417
12,12Bw14,where,where,where,Content,SCONJ,0.2436106,0.28388718
12,12Bw15,in,in,in,Function,ADP,0.35270312,0.4099829
12,12Bw16,the,the,the,Function,DET,0.34999818,0.4112249
12,12Bw17,body,body,body,Content,NOUN,0.2256611,0.21626465
12,12Bw18,the,the,the,Function,DET,0.35555524,0.41515413
12,12Bw19,fat,fat,fat,Content,NOUN,0.37068924,0.34213746
12,12Bw20,is.,is.,is,Content,AUX,0.36487162,0.42509192
13,13Aw01,In,In,In,Function,ADP,null,null
13,13Aw02,"general,","general,",general,Content,ADJ,null,null
13,13Aw03,any,any,any,Function,DET,0.18848512,0.18848512
13,13Aw04,exercise,exercise,exercise,Content,NOUN,0.09025235,0.09025236
13,13Aw05,improves,improves,improves,Content,VERB,0.11960418,0.11670298
13,13Aw06,our,our,our,Function,PRON,0.21582846,0.22051981
13,13Aw07,health.,health.,health,Content,NOUN,0.25826114,0.2706481
13,13Bw01,But,But,But,Function,CCONJ,0.15171927,0.15775643
13,13Bw02,a,a,a,Function,DET,null,null
13,13Bw03,wealth,wealth,wealth,Content,NOUN,0.1585021,0.16667648
13,13Bw04,of,of,of,Function,ADP,null,null
13,13Bw05,recent,recent,recent,Content,ADJ,0.10602725,0.11084391
13,13Bw06,science,science,science,Content,NOUN,0.25241092,0.26061404
13,13Bw07,and,and,and,Function,CCONJ,null,null
13,13Bw08,personal,personal,personal,Content,ADJ,0.2835871,0.29576123
13,13Bw09,experience,experience,experience,Content,NOUN,0.3054186,0.29624423
13,13Bw10,indicate,indicate,indicate,Content,VERB,0.13181056,0.13686346
13,13Bw11,that,that,that,Function,SCONJ,0.3073652,0.31954893
13,13Bw12,different,different,different,Content,ADJ,0.2214671,0.2231259
13,13Bw13,people,people,people,Content,NOUN,0.2827078,0.2880734
13,13Bw14,can,can,can,Function,AUX,0.3016388,0.29206643
13,13Bw15,respond,respond,respond,Content,VERB,0.24205063,0.24220051
13,13Bw16,to,to,to,Function,ADP,null,null
13,13Bw17,similar,similar,similar,Content,ADJ,0.31302592,0.3257134
13,13Bw18,exercise,exercise,exercise,Content,NOUN,0.39535412,0.37749073
13,13Bw19,routines,routines,routines,Content,NOUN,0.21444942,0.20607054
13,13Bw20,in,in,in,Function,ADP,0.30682728,0.32179236
13,13Bw21,different,different,different,Content,ADJ,0.42807668,0.4483276
13,13Bw22,ways.,ways.,ways,Content,NOUN,0.28073508,0.27905568
14,14Aw01,A,A,A,Function,DET,null,null
14,14Aw02,lifelong,lifelong,lifelong,Content,ADJ,null,null
14,14Aw03,swimmer,swimmer,swimmer,Content,NOUN,0.11344539,0.11344538
14,14Aw04,leapt,leapt,leapt,Content,VERB,0.061438013,0.055557273
14,14Aw05,into,into,into,Function,ADP,0.06270966,0.06815042
14,14Aw06,deep,deep,deep,Content,ADJ,0.16835761,0.17950186
14,14Aw07,water,water,water,Content,NOUN,0.21418013,0.21314277
14,14Aw08,near,near,near,Function,ADP,0.17215256,0.1824172
14,14Aw09,his,his,his,Function,PRON,0.26658475,0.2689337
14,14Aw10,lakeside,lakeside,lakeside,Content,NOUN,0.25647762,0.26179218
14,14Aw11,"home,","home,",home,Content,NOUN,0.21135865,0.21477635
14,14Aw12,and,and,and,Function,CCONJ,null,null
14,14Aw13,was,was,was,Content,AUX,0.22068042,0.21818967
14,14Aw14,horrified,horrified,horrified,Content,VERB,0.20718014,0.2047436
14,14Aw15,to,to,to,Function,PART,null,null
14,14Aw16,find,find,find,Content,VERB,0.18275374,0.2068787
14,14Aw17,himself,himself,himself,Function,PRON,0.25061646,0.24901919
14,14Aw18,completely,completely,completely,Content,ADV,0.1775764,0.19461156
14,14Aw19,unable,unable,unable,Content,ADJ,0.24737705,0.25778112
14,14Aw20,to,to,to,Function,PART,null,null
14,14Aw21,swim.,swim.,swim,Content,VERB,0.4540904,0.40377513
14,14Bw01,Had,Had,Had,Content,AUX,0.13341072,0.15265957
14,14Bw02,his,his,his,Function,PRON,0.29012066,0.30937564
14,14Bw03,wife,wife,wife,Content,NOUN,0.2685697,0.27624792
14,14Bw04,not,not,not,Content,PART,0.37829486,0.41340154
14,14Bw05,rescued,rescued,rescued,Content,VERB,0.33561203,0.31836712
14,14Bw06,"him,","him,",him,Function,PRON,0.34648323,0.37507337
14,14Bw07,he,he,he,Function,PRON,0.393491,0.4395749
14,14Bw08,might,might,might,Function,AUX,0.35169545,0.4041808
14,14Bw09,have,have,have,Content,AUX,0.3254857,0.39249384
14,14Bw10,drowned.,drowned.,drowned,Content,VERB,0.48648903,0.436977
15,15Aw01,Scientists,Scientists,Scientists,Content,NOUN,null,null
15,15Aw02,have,have,have,Content,AUX,0.1375205,0.13752052
15,15Aw03,used,used,used,Content,VERB,0.10861045,0.12423992
15,15Aw04,genetically,genetically,genetically,Content,ADV,0.28858942,0.2590761
15,15Aw05,reprogrammed,reprogrammed,reprogrammed,Content,VERB,0.33002746,0.33810836
15,15Aw06,bacteria,bacteria,bacteria,Content,NOUN,0.3585537,0.31819496
15,15Aw07,to,to,to,Function,PART,null,null
15,15Aw08,destroy,destroy,destroy,Content,VERB,0.24227203,0.25985473
15,15Aw09,tumors,tumors,tumors,Content,NOUN,0.4268231,0.38440967
15,15Aw10,in,in,in,Function,ADP,0.07544798,0.12849273
15,15Aw11,mice.,mice.,mice,Content,NOUN,0.5699283,0.5210127
15,15Bw01,The,The,The,Function,DET,0.023398358,0.04846314
15,15Bw02,innovative,innovative,innovative,Content,ADJ,0.16426326,0.1738662
15,15Bw03,method,method,method,Content,NOUN,0.2653086,0.28739977
15,15Bw04,one,one,one,Function,NUM,0.14464411,0.18205594
15,15Bw05,day,day,day,Content,NOUN,0.050235916,0.06682088
15,15Bw06,may,may,may,Function,AUX,0.25368196,0.2916283
